               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042557,            0.021363,           0.0027556,             0.48548,             0.39913,             0.35515,             0.14005,            0.055366,            0.024405,           0.0050076,             0.00769,             0.00769,             0.00769
                  37,            0.039301,            0.021793,           0.0025759,             0.42889,             0.44658,             0.38046,             0.14537,             0.05423,            0.023123,           0.0040613,            0.007624,            0.007624,            0.007624
                  38,            0.040509,            0.021767,           0.0024327,             0.59175,             0.46706,             0.46677,             0.18276,            0.052618,            0.022857,           0.0039661,            0.007558,            0.007558,            0.007558
                  39,            0.038808,            0.020419,           0.0023195,             0.47731,             0.59722,             0.50355,             0.18623,            0.052408,              0.0231,           0.0033712,            0.007492,            0.007492,            0.007492
                  40,            0.043275,            0.025839,           0.0021344,             0.55524,             0.49898,             0.54956,             0.20712,            0.052269,            0.022532,           0.0033239,            0.007426,            0.007426,            0.007426
                  41,            0.041088,            0.021064,           0.0022737,             0.51242,             0.61166,             0.51049,             0.17782,            0.051665,             0.02267,            0.002486,             0.00736,             0.00736,             0.00736
                  42,            0.036628,            0.022914,           0.0020941,             0.50675,             0.55838,             0.51385,             0.20918,            0.049908,            0.023526,           0.0025913,            0.007294,            0.007294,            0.007294
                  43,             0.03969,            0.021301,           0.0020805,             0.56535,             0.72828,             0.59752,              0.2325,            0.051284,            0.023618,           0.0023251,            0.007228,            0.007228,            0.007228
                  44,            0.037687,            0.023597,           0.0021957,             0.68159,             0.66884,             0.65402,              0.2635,            0.049737,            0.023291,           0.0020269,            0.007162,            0.007162,            0.007162
                  45,            0.036962,            0.023642,           0.0023076,             0.68635,             0.58959,              0.5706,             0.23542,            0.048517,            0.022892,           0.0019957,            0.007096,            0.007096,            0.007096
                  46,             0.03733,            0.021281,           0.0018805,             0.65321,               0.642,             0.56666,             0.20856,            0.048607,            0.024713,           0.0023491,             0.00703,             0.00703,             0.00703
                  47,            0.033724,            0.020273,           0.0019565,             0.47955,             0.50478,             0.44412,             0.18266,            0.052574,            0.025323,           0.0037983,            0.006964,            0.006964,            0.006964
                  48,            0.035438,            0.020076,           0.0023157,             0.52866,             0.53145,             0.47549,             0.17594,            0.050002,            0.025171,           0.0035057,            0.006898,            0.006898,            0.006898
                  49,            0.033785,            0.020948,            0.002365,               0.466,             0.54873,             0.46515,             0.17255,            0.050713,             0.02518,           0.0031708,            0.006832,            0.006832,            0.006832
                  50,            0.034226,            0.019439,           0.0021354,             0.57435,             0.58791,             0.55803,             0.20827,            0.048897,            0.026047,            0.002457,            0.006766,            0.006766,            0.006766
                  51,            0.035602,            0.020381,           0.0020978,             0.69614,              0.5749,              0.5484,             0.21237,            0.048442,            0.026285,           0.0024258,              0.0067,              0.0067,              0.0067
                  52,             0.03353,             0.02032,           0.0022757,             0.77958,              0.4677,              0.5577,             0.22221,            0.050052,            0.026696,           0.0026899,            0.006634,            0.006634,            0.006634
                  53,            0.035981,            0.018987,           0.0021477,             0.67967,             0.41705,             0.48037,              0.2069,            0.053028,            0.027348,           0.0031246,            0.006568,            0.006568,            0.006568
                  54,            0.033387,            0.020195,           0.0022208,             0.51185,             0.52203,             0.51383,             0.19374,            0.053548,            0.027117,           0.0028261,            0.006502,            0.006502,            0.006502
                  55,            0.034544,            0.021732,           0.0019323,              0.5821,              0.4985,             0.47762,             0.18569,            0.054237,             0.02772,           0.0024456,            0.006436,            0.006436,            0.006436
                  56,            0.032701,            0.017744,           0.0020372,             0.54182,             0.54336,             0.54524,             0.20445,            0.052054,            0.026593,           0.0026304,             0.00637,             0.00637,             0.00637
                  57,            0.031384,            0.019543,           0.0021316,             0.59209,              0.5402,             0.52111,             0.19809,            0.051974,            0.026213,           0.0023846,            0.006304,            0.006304,            0.006304
                  58,            0.031698,            0.019316,           0.0019412,             0.49605,             0.54826,             0.44064,             0.17954,            0.055293,            0.026432,           0.0028004,            0.006238,            0.006238,            0.006238
                  59,             0.03304,             0.01766,           0.0016863,             0.49461,              0.4403,             0.42187,             0.14563,            0.054643,            0.027617,           0.0035791,            0.006172,            0.006172,            0.006172
                  60,            0.032032,             0.01847,           0.0017105,             0.48754,              0.3964,             0.39605,             0.15443,            0.052528,            0.027557,           0.0042633,            0.006106,            0.006106,            0.006106
                  61,              0.0316,            0.016918,           0.0020323,             0.66034,             0.33244,             0.35375,             0.13822,            0.054672,             0.02877,           0.0050325,             0.00604,             0.00604,             0.00604
                  62,            0.030434,            0.017895,           0.0017076,             0.67675,             0.33812,             0.36418,             0.14983,            0.052623,            0.028652,           0.0048399,            0.005974,            0.005974,            0.005974
                  63,            0.030693,            0.018336,           0.0019669,             0.54913,             0.41042,             0.40021,             0.17467,             0.05098,            0.027726,           0.0031778,            0.005908,            0.005908,            0.005908
                  64,            0.029333,            0.018352,           0.0019837,             0.58477,             0.51677,              0.4837,             0.18683,            0.049443,            0.027015,           0.0025265,            0.005842,            0.005842,            0.005842
                  65,            0.030045,            0.017338,           0.0024528,             0.64616,             0.47081,             0.46756,             0.18269,            0.050701,            0.026596,           0.0029712,            0.005776,            0.005776,            0.005776
                  66,            0.030493,            0.019864,           0.0017279,             0.55691,             0.61197,             0.48429,             0.20086,            0.047997,            0.026419,           0.0026779,             0.00571,             0.00571,             0.00571
                  67,            0.028017,            0.017813,           0.0016612,             0.61129,             0.56133,             0.49469,              0.1861,            0.051039,            0.026137,           0.0027302,            0.005644,            0.005644,            0.005644
                  68,            0.028381,            0.017487,           0.0020485,             0.58742,             0.53017,              0.4579,             0.15982,            0.051748,            0.026076,           0.0034201,            0.005578,            0.005578,            0.005578
                  69,             0.02773,            0.018211,           0.0018109,             0.51418,             0.56242,             0.40562,             0.14937,            0.051224,            0.026105,           0.0047297,            0.005512,            0.005512,            0.005512
                  70,            0.029181,            0.017248,           0.0015941,             0.55629,             0.49824,             0.41883,              0.1698,            0.050898,            0.026066,           0.0036793,            0.005446,            0.005446,            0.005446
                  71,            0.027912,            0.015946,           0.0016602,             0.57943,             0.58864,             0.54588,             0.20034,            0.047925,            0.026262,           0.0031061,             0.00538,             0.00538,             0.00538
                  72,            0.029753,            0.019112,           0.0016133,             0.58777,             0.56208,             0.55046,             0.23176,            0.048197,            0.026475,           0.0031056,            0.005314,            0.005314,            0.005314
                  73,            0.027947,            0.016884,           0.0016763,             0.61471,              0.5846,             0.57452,             0.23984,            0.047836,            0.027378,           0.0033236,            0.005248,            0.005248,            0.005248
                  74,            0.026243,            0.015458,           0.0014682,               0.548,             0.56725,             0.51466,             0.20717,            0.048389,            0.028358,           0.0025766,            0.005182,            0.005182,            0.005182
                  75,            0.028064,            0.018047,           0.0016565,             0.55146,             0.48302,             0.45825,             0.17467,            0.049726,            0.028542,           0.0031576,            0.005116,            0.005116,            0.005116
                  76,            0.025739,            0.015951,           0.0015353,             0.69082,              0.5286,             0.52755,             0.18788,            0.052551,            0.028588,            0.002508,             0.00505,             0.00505,             0.00505
                  77,            0.027946,            0.017931,           0.0015335,             0.63417,             0.53541,             0.47706,             0.18888,            0.054092,            0.028659,            0.003117,            0.004984,            0.004984,            0.004984
                  78,            0.027915,             0.01823,           0.0014272,             0.59592,             0.51617,             0.47409,             0.19307,             0.05211,            0.028564,           0.0037233,            0.004918,            0.004918,            0.004918
                  79,            0.027522,            0.018353,           0.0014889,             0.66561,             0.52948,              0.5081,             0.20241,            0.051168,            0.027863,           0.0030338,            0.004852,            0.004852,            0.004852
                  80,            0.026069,            0.016173,           0.0015299,             0.60833,             0.57794,             0.52514,             0.21519,            0.050284,            0.027758,           0.0026814,            0.004786,            0.004786,            0.004786
                  81,            0.025876,            0.016722,           0.0013757,             0.61434,             0.54373,             0.48776,             0.19827,            0.050839,            0.028482,           0.0029574,             0.00472,             0.00472,             0.00472
                  82,            0.025628,            0.017132,           0.0014217,             0.54343,             0.52331,             0.45667,             0.18579,            0.052018,              0.0284,           0.0033328,            0.004654,            0.004654,            0.004654
                  83,            0.025546,             0.01632,            0.001222,             0.63405,             0.53771,             0.49369,             0.19459,            0.050291,             0.02792,           0.0027184,            0.004588,            0.004588,            0.004588
                  84,            0.025359,            0.016236,           0.0013015,              0.6759,             0.52046,             0.55174,             0.19629,             0.04883,            0.026423,           0.0024151,            0.004522,            0.004522,            0.004522
                  85,            0.026109,            0.017204,           0.0016058,             0.73224,             0.55306,             0.58856,             0.22255,            0.049088,            0.025892,           0.0021218,            0.004456,            0.004456,            0.004456
                  86,            0.024688,            0.015858,           0.0012416,             0.64615,             0.53541,             0.53196,             0.23026,            0.047963,            0.025796,           0.0021671,             0.00439,             0.00439,             0.00439
                  87,            0.025471,            0.016497,           0.0012129,             0.53451,             0.58625,             0.50435,             0.20835,            0.050363,            0.026378,           0.0024909,            0.004324,            0.004324,            0.004324
                  88,            0.024362,            0.016518,           0.0012873,              0.6314,             0.58131,             0.53799,              0.2192,            0.048436,            0.026619,           0.0026188,            0.004258,            0.004258,            0.004258
